amount,due_date,paid_date,status,tenant_profile_id,suite_id
1200,2038-01-22,2038-01-25,PAID,158,258
1200,2038-02-21,,DUE,159,259
1000,2038-03-23,,DUE,160,260
1200,2038-04-22,,DUE,161,261
1200,2038-05-22,2038-05-26,PAID,162,262
1200,2038-06-21,2038-06-22,PAID,163,263
1200,2038-07-21,,DUE,164,264
1000,2038-08-20,2038-08-29,PAID,165,265
1000,2038-09-19,,DUE,166,266
1200,2038-10-19,,DUE,167,267
1000,2038-11-18,2038-11-19,PAID,168,268
1200,2038-12-18,,DUE,169,269
1500,2039-01-17,2039-01-23,PAID,170,270
1000,2039-02-16,2039-02-23,PAID,171,271
1500,2039-03-18,2039-03-19,PAID,172,272
1500,2039-04-17,,DUE,173,273
1500,2039-05-17,2039-05-26,PAID,174,274
1200,2039-06-16,2039-06-17,PAID,175,275
1500,2039-07-16,2039-07-23,PAID,176,276
1000,2039-08-15,,DUE,177,277
1200,2039-09-14,,DUE,178,278
1000,2039-10-14,2039-10-16,PAID,179,279
1000,2039-11-13,,DUE,180,280
1500,2039-12-13,,DUE,181,281
1500,2040-01-12,,DUE,182,282
1500,2040-02-11,2040-02-19,PAID,183,283
1200,2040-03-12,2040-03-15,PAID,184,284
1200,2040-04-11,,DUE,185,285
1500,2040-05-11,2040-05-14,PAID,186,286
1200,2040-06-10,,DUE,187,287
1200,2040-07-10,2040-07-17,PAID,188,288
1200,2040-08-09,,DUE,189,289
1500,2040-09-08,,DUE,190,290
1000,2040-10-08,2040-10-18,PAID,191,291
1200,2040-11-07,2040-11-17,PAID,192,292
1500,2040-12-07,,DUE,193,293
1000,2041-01-06,,DUE,194,294
1000,2041-02-05,,DUE,195,295
1500,2041-03-07,,DUE,196,296
1000,2041-04-06,2041-04-08,PAID,197,297
1200,2041-05-06,,DUE,198,298
1500,2041-06-05,2041-06-15,PAID,199,299
1200,2041-07-05,2041-07-11,PAID,200,300
1500,2041-08-04,,DUE,201,301
1000,2041-09-03,2041-09-08,PAID,202,302
1200,2041-10-03,2041-10-11,PAID,203,303
1000,2041-11-02,,DUE,204,304
1200,2041-12-02,2041-12-05,PAID,205,305
1000,2042-01-01,,DUE,206,306
1500,2042-01-31,,DUE,207,307
1200,2042-03-02,,DUE,208,308
1200,2042-04-01,2042-04-11,PAID,209,309
1000,2042-05-01,2042-05-06,PAID,210,310
1200,2042-05-31,,DUE,211,311
1000,2042-06-30,,DUE,212,312
1200,2042-07-30,,DUE,213,313
1000,2042-08-29,,DUE,214,314
1500,2042-09-28,,DUE,215,315
1500,2042-10-28,,DUE,216,316
1500,2042-11-27,,DUE,217,317
1000,2042-12-27,2042-12-30,PAID,218,318
1200,2043-01-26,2043-02-04,PAID,219,319
1500,2043-02-25,,DUE,220,320
1500,2043-03-27,,DUE,221,321
1500,2043-04-26,2043-05-05,PAID,222,322
1200,2043-05-26,2043-06-02,PAID,223,323
1200,2043-06-25,,DUE,224,324
1000,2043-07-25,2043-08-03,PAID,225,325
1500,2043-08-24,2043-08-25,PAID,226,326
1500,2043-09-23,,DUE,227,327
1200,2043-10-23,,DUE,228,328
1500,2043-11-22,,DUE,229,329
1000,2043-12-22,,DUE,230,330
1000,2044-01-21,2044-01-28,PAID,231,331
1500,2044-02-20,,DUE,232,332
1000,2044-03-21,2044-03-28,PAID,233,333
1000,2044-04-20,,DUE,234,334
1500,2044-05-20,2044-05-23,PAID,235,335
1200,2044-06-19,2044-06-29,PAID,236,336
1000,2044-07-19,,DUE,237,337
1000,2044-08-18,,DUE,238,338
1000,2044-09-17,2044-09-22,PAID,239,339
1200,2044-10-17,2044-10-25,PAID,240,340
1000,2044-11-16,,DUE,241,341
1200,2044-12-16,,DUE,242,342
1200,2045-01-15,,DUE,243,343
1500,2045-02-14,2045-02-21,PAID,244,344
1000,2045-03-16,2045-03-21,PAID,245,345
1000,2045-04-15,,DUE,246,346
1000,2045-05-15,2045-05-21,PAID,247,347
1000,2045-06-14,2045-06-23,PAID,248,348
1200,2045-07-14,,DUE,249,349
1500,2045-08-13,,DUE,250,350
1500,2045-09-12,,DUE,251,351
1200,2045-10-12,,DUE,252,352
1000,2045-11-11,2045-11-14,PAID,253,353
1200,2045-12-11,,DUE,254,354
1500,2046-01-10,,DUE,255,355
1000,2046-02-09,,DUE,256,356
1200,2046-03-11,2046-03-17,PAID,257,357
1200,2046-04-10,,DUE,258,358
1200,2046-05-10,2046-05-11,PAID,259,359
1500,2046-06-09,,DUE,260,360
1200,2046-07-09,,DUE,261,361
1000,2046-08-08,2046-08-15,PAID,262,362
1000,2046-09-07,2046-09-16,PAID,263,363
1500,2046-10-07,,DUE,264,364
1500,2046-11-06,,DUE,265,365
1500,2046-12-06,,DUE,266,366
1000,2047-01-05,2047-01-10,PAID,267,367
1200,2047-02-04,2047-02-08,PAID,268,368
1500,2047-03-06,,DUE,269,369
1000,2047-04-05,2047-04-14,PAID,270,370
1000,2047-05-05,2047-05-07,PAID,271,371
1200,2047-06-04,2047-06-14,PAID,272,372
1200,2047-07-04,,DUE,273,373
1200,2047-08-03,2047-08-08,PAID,274,374
1500,2047-09-02,,DUE,275,375
1200,2047-10-02,,DUE,276,376
1500,2047-11-01,2047-11-07,PAID,277,377
1500,2047-12-01,2047-12-07,PAID,278,378
1000,2047-12-31,,DUE,279,379
1500,2048-01-30,2048-02-07,PAID,280,380
1500,2048-02-29,,DUE,281,381
1200,2048-03-30,2048-04-08,PAID,282,382
1500,2048-04-29,2048-05-03,PAID,283,383
1500,2048-05-29,2048-05-30,PAID,284,384
1500,2048-06-28,,DUE,285,385
1200,2048-07-28,,DUE,286,386
1500,2048-08-27,,DUE,287,387
1000,2048-09-26,2048-09-28,PAID,288,388
1500,2048-10-26,,DUE,289,389
1200,2048-11-25,,DUE,290,390
1000,2048-12-25,,DUE,291,391
1000,2049-01-24,2049-01-25,PAID,292,392
1200,2049-02-23,2049-03-05,PAID,293,393
1500,2049-03-25,2049-03-30,PAID,294,394
1000,2049-04-24,,DUE,295,395
1200,2049-05-24,2049-05-29,PAID,296,396
1200,2049-06-23,,DUE,297,397
1000,2049-07-23,2049-07-24,PAID,298,398
1200,2049-08-22,,DUE,299,399
1500,2049-09-21,2049-09-25,PAID,300,400
1200,2049-10-21,2049-10-30,PAID,301,401
1200,2049-11-20,,DUE,302,402
1200,2049-12-20,2049-12-23,PAID,303,403
1200,2050-01-19,,DUE,304,404
1500,2050-02-18,2050-02-23,PAID,305,405
1200,2050-03-20,,DUE,306,406
1200,2050-04-19,,DUE,307,407
1200,2050-05-19,,DUE,308,408
1500,2050-06-18,,DUE,309,409
1200,2050-07-18,2050-07-19,PAID,310,410
1500,2050-08-17,2050-08-23,PAID,311,411
1000,2050-09-16,2050-09-25,PAID,312,412
1500,2050-10-16,,DUE,313,413
1500,2050-11-15,2050-11-23,PAID,314,414
1200,2050-12-15,2050-12-23,PAID,315,415
1000,2051-01-14,2051-01-15,PAID,316,416
1000,2051-02-13,,DUE,317,417
1200,2051-03-15,,DUE,318,418
1500,2051-04-14,2051-04-21,PAID,319,419
1500,2051-05-14,,DUE,320,420
1500,2051-06-13,2051-06-15,PAID,321,421
1500,2051-07-13,2051-07-16,PAID,322,422
1500,2051-08-12,,DUE,323,423
1200,2051-09-11,2051-09-15,PAID,324,424
1200,2051-10-11,2051-10-20,PAID,325,425
1200,2051-11-10,,DUE,326,426
1500,2051-12-10,2051-12-18,PAID,327,427
1200,2052-01-09,2052-01-12,PAID,328,428
1200,2052-02-08,2052-02-14,PAID,329,429
1200,2052-03-09,,DUE,330,430
1500,2052-04-08,,DUE,331,431
1200,2052-05-08,,DUE,332,432
1500,2052-06-07,,DUE,333,433
1000,2052-07-07,2052-07-16,PAID,334,434
1500,2052-08-06,,DUE,335,435
1000,2052-09-05,2052-09-09,PAID,336,436
1000,2052-10-05,2052-10-09,PAID,337,437
1200,2052-11-04,2052-11-11,PAID,338,438
1500,2052-12-04,,DUE,339,439
1500,2053-01-03,2053-01-12,PAID,340,440
1500,2053-02-02,,DUE,341,441
1200,2053-03-04,,DUE,342,442
1000,2053-04-03,2053-04-05,PAID,343,443
1500,2053-05-03,,DUE,344,444
1500,2053-06-02,2053-06-07,PAID,345,445
1200,2053-07-02,2053-07-10,PAID,346,446
1200,2053-08-01,2053-08-04,PAID,347,447
1000,2053-08-31,2053-09-10,PAID,348,448
1200,2053-09-30,2053-10-03,PAID,349,449
1200,2053-10-30,2053-10-31,PAID,350,450
1000,2053-11-29,2053-12-03,PAID,351,451
1200,2053-12-29,2054-01-02,PAID,352,452
1000,2054-01-28,2054-02-05,PAID,353,453
1500,2054-02-27,2054-03-08,PAID,354,454
1200,2054-03-29,,DUE,355,455
1500,2054-04-28,,DUE,356,456
1000,2054-05-28,,DUE,357,457
1500,2054-06-27,2054-06-30,PAID,358,458
1500,2054-07-27,,DUE,359,459
1200,2054-08-26,,DUE,360,460
1200,2054-09-25,2054-10-02,PAID,361,461
1500,2054-10-25,2054-10-31,PAID,362,462
1200,2054-11-24,,DUE,363,463
1500,2054-12-24,,DUE,364,464
1500,2055-01-23,2055-01-29,PAID,365,465
1500,2055-02-22,,DUE,366,466
1500,2055-03-24,,DUE,367,467
1200,2055-04-23,2055-04-26,PAID,368,468
1500,2055-05-23,,DUE,369,469
1500,2055-06-22,2055-06-26,PAID,370,470
1000,2055-07-22,,DUE,371,471
1000,2055-08-21,2055-08-25,PAID,372,472
1500,2055-09-20,,DUE,373,473
1200,2055-10-20,,DUE,374,474
1200,2055-11-19,,DUE,375,475
1000,2055-12-19,2055-12-29,PAID,376,476
1500,2056-01-18,,DUE,377,477
1000,2056-02-17,,DUE,378,478
1500,2056-03-18,,DUE,379,479
1000,2056-04-17,,DUE,380,480
1000,2056-05-17,2056-05-19,PAID,381,481
1500,2056-06-16,2056-06-19,PAID,382,482
1200,2056-07-16,,DUE,383,483
1200,2056-08-15,,DUE,384,484
1000,2056-09-14,2056-09-16,PAID,385,485
1000,2056-10-14,2056-10-22,PAID,386,486
1000,2056-11-13,2056-11-19,PAID,387,487
1200,2056-12-13,,DUE,388,488
1200,2057-01-12,2057-01-14,PAID,389,489
1200,2057-02-11,,DUE,390,490
1200,2057-03-13,2057-03-19,PAID,391,491
1000,2057-04-12,,DUE,392,492
1500,2057-05-12,,DUE,393,493
1200,2057-06-11,,DUE,394,494
1000,2057-07-11,2057-07-17,PAID,395,495
1200,2057-08-10,,DUE,396,496
1000,2057-09-09,,DUE,397,497
1500,2057-10-09,2057-10-13,PAID,398,498
1200,2057-11-08,2057-11-18,PAID,399,499
1200,2057-12-08,2057-12-15,PAID,400,500
1500,2058-01-07,2058-01-11,PAID,401,501
1500,2058-02-06,,DUE,402,502
1500,2058-03-08,2058-03-17,PAID,403,503
1000,2058-04-07,,DUE,404,504
1200,2058-05-07,2058-05-13,PAID,405,505
1000,2058-06-06,2058-06-14,PAID,406,506
1500,2058-07-06,,DUE,407,507
1200,2058-08-05,2058-08-12,PAID,408,508
1500,2058-09-04,2058-09-12,PAID,409,509
1000,2058-10-04,,DUE,410,510
1500,2058-11-03,2058-11-10,PAID,411,511
1200,2058-12-03,,DUE,412,512
1500,2059-01-02,2059-01-03,PAID,413,513
1200,2059-02-01,,DUE,414,514
1200,2059-03-03,,DUE,415,515
1500,2059-04-02,2059-04-07,PAID,416,516
1200,2059-05-02,,DUE,417,517
1500,2059-06-01,,DUE,418,518
1000,2059-07-01,2059-07-03,PAID,419,519
1500,2059-07-31,,DUE,420,520
1500,2059-08-30,,DUE,421,521
1200,2059-09-29,,DUE,422,522
1500,2059-10-29,,DUE,423,523
1500,2059-11-28,,DUE,424,524
1000,2059-12-28,,DUE,425,525
1000,2060-01-27,,DUE,426,526
1200,2060-02-26,,DUE,427,527
1500,2060-03-27,,DUE,428,528
1200,2060-04-26,,DUE,429,529
1500,2060-05-26,,DUE,430,530
1500,2060-06-25,,DUE,431,531
1200,2060-07-25,,DUE,432,532
1500,2060-08-24,,DUE,433,533
1500,2060-09-23,,DUE,434,534
1200,2060-10-23,,DUE,435,535
1200,2060-11-22,2060-11-29,PAID,436,536
1000,2060-12-22,,DUE,437,537
1500,2061-01-21,,DUE,438,538
1500,2061-02-20,,DUE,439,539
1000,2061-03-22,,DUE,440,540
1500,2061-04-21,,DUE,441,541
1000,2061-05-21,,DUE,442,542
1200,2061-06-20,2061-06-27,PAID,443,543
1500,2061-07-20,,DUE,444,544
1500,2061-08-19,,DUE,445,545
1200,2061-09-18,,DUE,446,546
1500,2061-10-18,2061-10-23,PAID,447,547
1200,2061-11-17,2061-11-25,PAID,448,548
1000,2061-12-17,2061-12-26,PAID,449,549
1000,2062-01-16,2062-01-25,PAID,450,550
1500,2062-02-15,2062-02-16,PAID,451,551
1200,2062-03-17,,DUE,452,552
1200,2062-04-16,2062-04-21,PAID,453,553
1000,2062-05-16,2062-05-25,PAID,454,554
1200,2062-06-15,2062-06-23,PAID,455,555
1200,2062-07-15,,DUE,456,556
1200,2062-08-14,,DUE,457,557
1000,2062-09-13,2062-09-18,PAID,458,558
1500,2062-10-13,2062-10-19,PAID,459,559
1200,2062-11-12,2062-11-15,PAID,460,560
1500,2062-12-12,,DUE,461,561
1500,2063-01-11,2063-01-12,PAID,462,562
1500,2063-02-10,2063-02-13,PAID,463,563
1000,2063-03-12,,DUE,464,564
1000,2063-04-11,2063-04-14,PAID,465,565
1200,2063-05-11,,DUE,466,566
1500,2063-06-10,,DUE,467,567
1500,2063-07-10,,DUE,468,568
1000,2063-08-09,,DUE,469,569
1200,2063-09-08,2063-09-14,PAID,470,570
1000,2063-10-08,,DUE,471,571
1500,2063-11-07,2063-11-10,PAID,472,572
1500,2063-12-07,2063-12-15,PAID,473,573
1500,2064-01-06,,DUE,474,574
1200,2064-02-05,2064-02-13,PAID,475,575
1200,2064-03-06,2064-03-15,PAID,476,576
1200,2064-04-05,,DUE,477,577
1500,2064-05-05,,DUE,478,578
1000,2064-06-04,,DUE,479,579
1500,2064-07-04,,DUE,480,580
1200,2064-08-03,,DUE,481,581
1500,2064-09-02,,DUE,482,582
1500,2064-10-02,2064-10-04,PAID,483,583
1000,2064-11-01,2064-11-05,PAID,484,584
1200,2064-12-01,,DUE,485,585
1500,2064-12-31,,DUE,486,586
1200,2065-01-30,2065-02-01,PAID,487,587
1500,2065-03-01,2065-03-04,PAID,488,588
1200,2065-03-31,,DUE,489,589
1500,2065-04-30,2065-05-10,PAID,490,590
1200,2065-05-30,2065-06-01,PAID,491,591
1200,2065-06-29,2065-07-01,PAID,492,592
1000,2065-07-29,,DUE,493,593
1200,2065-08-28,2065-08-29,PAID,494,594
1200,2065-09-27,2065-10-02,PAID,495,595
1000,2065-10-27,2065-11-05,PAID,496,596
1000,2065-11-26,,DUE,497,597
1000,2065-12-26,2066-01-02,PAID,498,598
1000,2066-01-25,,DUE,499,599
1500,2066-02-24,2066-03-06,PAID,500,600
1200,2066-03-26,2066-03-27,PAID,501,601
1000,2066-04-25,2066-05-02,PAID,502,602
1200,2066-05-25,,DUE,503,603
1200,2066-06-24,,DUE,504,604
1000,2066-07-24,2066-08-03,PAID,505,605
1200,2066-08-23,,DUE,506,606
1000,2066-09-22,2066-09-30,PAID,507,607
1000,2066-10-22,2066-10-23,PAID,508,608
1200,2066-11-21,2066-11-23,PAID,509,609
1200,2066-12-21,,DUE,510,610
1500,2067-01-20,,DUE,511,611
1200,2067-02-19,2067-02-21,PAID,512,612
1500,2067-03-21,,DUE,513,613
1500,2067-04-20,2067-04-23,PAID,514,614
1000,2067-05-20,,DUE,515,615
1200,2067-06-19,,DUE,516,616
1200,2067-07-19,,DUE,517,617
1000,2067-08-18,2067-08-25,PAID,518,618
1000,2067-09-17,2067-09-21,PAID,519,619
1200,2067-10-17,2067-10-21,PAID,520,620
1200,2067-11-16,2067-11-24,PAID,521,621
1500,2067-12-16,,DUE,522,622
1200,2068-01-15,,DUE,523,623
1200,2068-02-14,2068-02-16,PAID,524,624
1000,2068-03-15,2068-03-16,PAID,525,625
1500,2068-04-14,,DUE,526,626
1000,2068-05-14,2068-05-21,PAID,527,627
1500,2068-06-13,2068-06-17,PAID,528,628
1500,2068-07-13,2068-07-18,PAID,529,629
1200,2068-08-12,,DUE,530,630
1000,2068-09-11,,DUE,531,631
1200,2068-10-11,,DUE,532,632
1000,2068-11-10,2068-11-15,PAID,533,633
1500,2068-12-10,,DUE,534,634
1500,2069-01-09,,DUE,535,635
1200,2069-02-08,,DUE,536,636
1200,2069-03-10,2069-03-16,PAID,537,637
1000,2069-04-09,2069-04-11,PAID,538,638
1000,2069-05-09,,DUE,539,639
1200,2069-06-08,,DUE,540,640
1500,2069-07-08,2069-07-17,PAID,541,641
1500,2069-08-07,2069-08-16,PAID,542,642
1500,2069-09-06,2069-09-16,PAID,543,643
1500,2069-10-06,2069-10-16,PAID,544,644
1500,2069-11-05,2069-11-06,PAID,545,645
1200,2069-12-05,,DUE,546,646
1500,2070-01-04,,DUE,547,647
1200,2070-02-03,2070-02-09,PAID,548,648
1000,2070-03-05,2070-03-15,PAID,549,649
1200,2070-04-04,,DUE,550,650
1500,2070-05-04,2070-05-05,PAID,551,651
1200,2070-06-03,2070-06-07,PAID,552,652
1500,2070-07-03,,DUE,553,653
1000,2070-08-02,,DUE,554,654
1500,2070-09-01,,DUE,555,655
1500,2070-10-01,,DUE,556,656
1500,2070-10-31,,DUE,557,657
1200,2070-11-30,,DUE,558,658
1200,2070-12-30,,DUE,559,659
1200,2071-01-29,2071-02-01,PAID,560,660
1000,2071-02-28,,DUE,561,661
1500,2071-03-30,,DUE,562,662
1200,2071-04-29,2071-05-03,PAID,563,663
1200,2071-05-29,2071-06-06,PAID,564,664
1500,2071-06-28,2071-07-08,PAID,565,665
1000,2071-07-28,2071-08-06,PAID,566,666
1500,2071-08-27,2071-09-01,PAID,567,667
1500,2071-09-26,2071-09-29,PAID,568,668
1200,2071-10-26,,DUE,569,669
1200,2071-11-25,,DUE,570,670
1000,2071-12-25,2071-12-27,PAID,571,671
1500,2072-01-24,2072-02-02,PAID,572,672
1000,2072-02-23,2072-02-29,PAID,573,673
1000,2072-03-24,2072-03-28,PAID,574,674
1000,2072-04-23,,DUE,575,675
1000,2072-05-23,2072-06-02,PAID,576,676
1000,2072-06-22,,DUE,577,677
1200,2072-07-22,,DUE,578,678
1000,2072-08-21,2072-08-23,PAID,579,679
1500,2072-09-20,2072-09-30,PAID,580,680
1000,2072-10-20,2072-10-30,PAID,581,681
1000,2072-11-19,,DUE,582,682
1500,2072-12-19,,DUE,583,683
1000,2073-01-18,2073-01-21,PAID,584,684
1200,2073-02-17,,DUE,585,685
1200,2073-03-19,2073-03-28,PAID,586,686
1200,2073-04-18,2073-04-24,PAID,587,687
1200,2073-05-18,2073-05-21,PAID,588,688
1500,2073-06-17,,DUE,589,689
1500,2073-07-17,,DUE,590,690
1200,2073-08-16,,DUE,591,691
1200,2073-09-15,,DUE,592,692
1000,2073-10-15,,DUE,593,693
1500,2073-11-14,,DUE,594,694
1200,2073-12-14,2073-12-24,PAID,595,695
1000,2074-01-13,2074-01-14,PAID,596,696
1200,2074-02-12,,DUE,597,697
1000,2074-03-14,,DUE,598,698
1200,2074-04-13,2074-04-14,PAID,599,699
1200,2074-05-13,,DUE,600,700
1200,2074-06-12,,DUE,601,701
1000,2074-07-12,,DUE,602,702
1000,2074-08-11,2074-08-13,PAID,603,703
1000,2074-09-10,2074-09-12,PAID,604,704
1000,2074-10-10,2074-10-20,PAID,605,705
1000,2074-11-09,2074-11-14,PAID,606,706
1500,2074-12-09,,DUE,607,707
1500,2075-01-08,2075-01-17,PAID,608,708
1200,2075-02-07,,DUE,609,709
1500,2075-03-09,,DUE,610,710
1000,2075-04-08,,DUE,611,711
1500,2075-05-08,,DUE,612,712
1000,2075-06-07,,DUE,613,713
1000,2075-07-07,,DUE,614,714
1000,2075-08-06,2075-08-12,PAID,615,715
1000,2075-09-05,2075-09-09,PAID,616,716
1500,2075-10-05,2075-10-12,PAID,617,717
1000,2075-11-04,,DUE,618,718
1000,2075-12-04,,DUE,619,719
1500,2076-01-03,2076-01-10,PAID,620,720
1000,2076-02-02,2076-02-11,PAID,621,721
1000,2076-03-03,2076-03-11,PAID,622,722
1000,2076-04-02,,DUE,623,723
1200,2076-05-02,,DUE,624,724
1000,2076-06-01,,DUE,625,725
1500,2076-07-01,,DUE,626,726
1200,2076-07-31,,DUE,627,727
1200,2076-08-30,,DUE,628,728
1200,2076-09-29,2076-10-06,PAID,629,729
1000,2076-10-29,,DUE,630,730
1200,2076-11-28,,DUE,631,731
1200,2076-12-28,2077-01-02,PAID,632,732
1200,2077-01-27,2077-02-05,PAID,633,733
1200,2077-02-26,2077-02-27,PAID,634,734
1200,2077-03-28,2077-04-06,PAID,635,735
1000,2077-04-27,,DUE,636,736
1200,2077-05-27,,DUE,637,737
1200,2077-06-26,2077-07-02,PAID,638,738
1500,2077-07-26,2077-08-04,PAID,639,739
1500,2077-08-25,,DUE,640,740
